Symbol,Name
BOOM,Audioboom Group Plc
BOOT,Boot [Henry] Plc
BOR,Borders & Southern Petroleum Plc
BOTB,Best of The Best Plc
BOWL,Hollywood Bowl Group Plc
BOXE,Tritax Eurobox Plc
BOY,Bodycote Plc
BP,Bp - British Petroleum Plc
BP.A,BP Plc
BP.B,BP Plc
BPCR,Biopharma Credit Plc
BPM,B.P. Marsh & Partners Plc
BPS,Banca Mon.Pas
BPT,
BRBY,Burberry Group Plc
BRCK,Brickability Group Plc
BRD,Bluerock Diamonds Plc
BREE,Breedon Aggregates Ld
BRES,Blencowe Resources Plc
BRFI,Blackrock Frontiers Investment Trust Plc
BRGE,Blackrock Greater Europe Investment Trus
BRH,Braveheart Investment Group Plc
BRIC,Ishares II Plc
BRICUL2X,FTSE BRIC 50 2X Daily Su
BRICUL3X,FTSE BRIC 50 3X Daily Le
BRICUS1X,FTSE BRIC 50 Daily Short
BRICUS2X,FTSE BRIC 50 2X Daily Sh
BRICUS3X,FTSE BRIC 50 3X Daily Sh
BRIG,Blackrock Income and Growth Investment T
BRK,Brooks Macdonald Group Plc
BRLA,Blackrock Latin American Investment Trus
BRND,Boost Issuer Public Limi
BRNT,ETFS Commodity Securities Limited
BRS,Burn Steward Dist
BRSA,
BRSC,Blackrock Smaller CO Trust Plc
BRSD,
BRTG,UBS Ag
BRW,Brewin Dolphin Holdings Plc
BRWM,Blackrock World Mining Trust Plc
BRZ,Amundi Investment Solutions
BSC,British Smaller Companies Vct2 Plc
BSE,Base Resources Limited
BSFA,Bsf Enterprise Plc
BSIF,Bluefield Solar Income F
BSRT,Baker Steel Resources Trust Limited
BSUS,UBS ETF
BSV,British Smaller Companies Vct Plc
BT.A,Bt Group Plc
BTEC,Ishares IV Plc
BTEE,Ishares IV Plc
BTEK,Ishares IV Plc
BUG,Bouygues
BULL,ETFS Commodity Securities Limited
BULP,ETFS Commodity Securities Limited
BUMP,
BUOY,Lyxor Index Fund
BUR,Burford Capital Limited
BUR2,Burford Capital Plc
BUR3,Burford Capital Plc
BUR4,Burford Capital Finance Llc
BUT,Brunner Investment Trust Plc
BUYB,Powershares Glbal Funds
BVA,Banco Bilbao Vizcaya Argentaria Sa
BVC,Batm Advanced Communications Ld
BVIC,Britvic Plc
BVT,Baronsmead Vct 2 Plc
BVX,
BVXP,Bioventix Plc
BWNG,Brown [N] Group Plc
BWRA,Bristol Water Plc
BWSA,Bristol & West Plc
BWY,Bellway Plc
BXP,Beximco Pharmaceuticals Limited
BYBG,Amundi ETF
BYBU,Amundi ETF
BYG,Big Yellow Group Plc
BYIT,
BYOT,Byotrol Plc
BZT,Bezant Resources Plc
C300,SOCIETE GENERALE ACCEPTANCE NV CALL CFDS
C4XD,C4X Discovery Holdings P
C500,SOCIETE GENERALE ACCEPTANCE NV PUT CFDS
CACX,Lyxor International Asse
CAD,Cadogan Petroleum Plc
CAL,Capital & Regional Plc
CAM,Camellia Plc
CAML,Central Asia Metals Plc
CAPC,Capital & Counties Properties Plc
CAPD,Capital Drilling Limited
CAPE,Ossiam Lux
CAPU,Ossiam Lux
CAR,Carclo Plc
CARB,ETFS Oil Securities Limited
CARD,Card Factory Plc
CARP,ETFS Oil Securities Limited
CARR,Carr's Group Plc
CASE,Go Ucits ETF Solutions P
CASH,Go Ucits ETF Solutions P
CASP,Caspian Sunrise Plc
CAT,Catco Reinsurance Opportunities Fund Lim
CATC,Catco Reinsurance Opportunities Fund Lim
CATL,ETFS Commodity Securities Limited
CAU,Centaur Media Plc
CB5,Amundi ETF
CBE3,Ishares Vii Plc
CBG,Close Brothers Group Plc
CBKD,Commercial International
CBND,Goldman Sachs ETF Icav
CBOX,Cake Box Holdings Plc
CBP,Curtis Banks Group Plc
CBSE,UBS ETF
CBU0,Ishares Vii Plc
CBU3,Ishares Vii Plc
CBU7,Ishares Vii Plc
CBUG,Ishares Vii Plc
CBX,Cubus Lux Plc
CC1G,Amundi ETF
CC1U,Amundi ETF
CCAU,Ishares Vii Plc
CCBO,Wisdomtree Issuer Plc
CCC,Computacenter Plc
CCEP,Coca-Cola European Partners Plc
CCH,Coca-Cola Hbc Ag
CCJI,CC Japan Income & Growth Trust Plc
CCL,Carnival Plc
CCP,Celtic Plc
CCPA,Celtic Plc
CCPC,Celtic Plc
CCR,C&C Group Plc
CCS,Crossword Cybersecurity Plc
CCT,Character Group Plc
CCZ,CCZ
CDFF,Cardiff Property Plc
CDIS,SSGA SPDR ETFS Europe II
CDL,CARDINAL RESOURCES ORD GBP0.2
CE01,Ishares Vii Plc
CE2D,Amundi Index Solutions
CE31,Ishares Vii Plc
CE71,Ishares Vii Plc
CE9G,Amundi ETF
CE9U,Amundi ETF
CEA1,Ishares Vii Plc
CECL,Lyxor International Asse
CEG,CORSIE GROUP ORD GBP0.001
CEL,Caparo En
CEMA,CS ETF [Ie] Plc
CEMG,Ishares V Public Limited
CEPS,Ceps Plc
CER,Cerillion Plc
CES1,Ishares Vii Plc
CESG,CHINA EASTSEA BUSINESS SOFTWARE ORD
CEU1,Ishares Vii Plc
CEUG,Ishares Vii Plc
CEUR,Amundi Investment Solutions
CEY,Centamin Plc
CFX,Colefax Group Plc
CFYN,Caffyns Plc
CG1,Amundi ETF
CGB,DB X-Trackers II
CGEO,Georgia Capital Plc
CGH,Chaarat Gold Holdings Ltd
CGI,Canadian General Investments Ld
CGL,Catlin Group Ltd
CGNR,Conroy Gold & Natural Resources Plc
CGO,Contango Holdings Plc
CGS,Castings Plc
CGT,Capital Gearing Trust Plc
CGW,Chelverton Growth Trust Plc
CH5,Amundi ETF
CH80,FTSE China Index
CHAR,Chariot Oil & Gas Limited
CHF,Chesterfield Resources Plc
CHG,Chemring Group Plc
CHH,Churchill China Plc
CHI,Close High Prop
CHIN,Icbc Credit Suisse Ucits ETF Sicav
CHIP,Icbc Credit Suisse Ucits ETF Sicav
CHLL,
CHNS,china shoto ord gbp0.1
CHRT,Cohort Plc
CI2G,Amundi ETF
CI2U,Amundi ETF
CIC,Conygar Investment Company Plc [The]
CIN,City of London Group Plc
CIND,CS ETF [Ie] Plc
CINE,Cineworld Group Plc
CIR,Circassia Pharmaceutical
CIT2,Leverage Shares Public Limited Company
CITE,Leverage Shares Public Limited Company
CIZ,
CJ1G,Amundi ETF
CJ1U,Amundi ETF
CJPU,Ishares Vii Plc
CKN,Clarkson Plc
CKT,Checkit Plc
CLCO,Cloudcoco Group Plc
CLDN,Caledonia Investments Plc
CLI,Cls Holdings Plc
CLIG,City of London Investment Group Plc
CLIM,Multi Units Luxembourg
CLMU,Multi Units Luxembourg
CLO,Charlton Athletic
CLON,Clontarf Energy Plc
CLX,CALYX GROUP ORD EUR0.10
CMB,Cambria Africa Plc
CMB1,Ishares Vii Plc
CMBG,UBS Ag
CMBU,UBS Ag
CMCL,Caledonia Mining Corporation
CMCU,UBS Ag
CMCX,Cmc Markets Plc
CMET,
CMFP,Etfx Fund Company Plc
CMGB,UBS Ag
CMGG,UBS Ag
CMH,Chamberlin Plc
CML,Cml Microsystems Plc
CMO,Comino
CMOD,Source Markets Public Limited Company
CMOP,Source Markets Public Limited Company
CMPI,
CMRS,
CMU,Amundi Investment Solutions
CMX,Catalyst Media Group Plc
CMX1,Ishares Vii Plc
CMXC,CS ETF [Ie] Plc
CN1,Amundi ETF
CNA,Centrica Plc
CNAA,Multi Units France
CNAL,Multi Units France
CNC,Concurrent Technologies Plc
CNDX,CS ETF [Ie] Plc
CNE,Cairn Energy Plc
CNG,China Nonferrous Gold Li
CNIC,Centralnic Group Plc
CNKS,Cenkos Securities Plc
CNKY,CS ETF [Ie] Plc
CNN,Caledonian Trust Plc
CNR,Condor Gold Plc
CNS,Corero Network Security Plc
CNSG,UBS ETF
CNX1,Ishares Vii Plc
CNYA,Ishares IV Plc
COA,Coats Group Plc
COBR,Cobra Resources Plc
COCB,Wisdomtree Issuer Plc
COCO,ETFS Commodity Securities Limited
COD,Compagnie DE Saint Gobain Sa
CODE,
COFF,ETFS Commodity Securities Limited
COG,Cambridge Cognition Hold
COGO,Wisdomtree Issuer Plc
COM,Comptoir Group Plc
COMF,Etfx Fund Company Plc
COMM,Ishares Vi Plc
COPA,ETFS Commodity Securities Limited
COPG,Societe Generale Effekten Gmbh
COPL,Canadian Overseas Petrol
CORA,Cora Gold Limited
CORD,
CORN,ETFS Commodity Securities Limited
