Symbol;Name;ListedDt;LastDt;Status
AGILW;Agilethought Warrant;2020-01-14T00:00:00;2022-09-16T00:00:00;Active
AGIO;Agios Pharmaceuticals;2013-07-24T00:00:00;2022-09-16T00:00:00;Active
AGL;Agilon Health;2021-04-15T00:00:00;2022-09-16T00:00:00;Active
AGLE;Aeglea Biotherapeutics;2016-04-07T00:00:00;2022-09-16T00:00:00;Active
AGM;Federal Agricultural Mortgage;2007-05-04T00:00:00;2022-09-16T00:00:00;Active
AGMH;Agm Holdings Class A Ordinary Shares;2018-04-18T00:00:00;2022-09-16T00:00:00;Active
AGNC;Agnc Investment;2008-05-15T00:00:00;2022-09-09T00:00:00;Active
AGNCN;Agnc Investment Depositary Shares Each Representing A 1/1000Th Interest In A Share Of 7.00% Series C Fixed-To-Floating Rate Cumulative Redeemable Preferred Stock;2017-08-28T00:00:00;2022-09-09T00:00:00;Active
AGNCP;Agnc Investment Depositary Shares Each Representing A 1/1000Th Interest In A Share Of 6.125% Series F Fixed-To-Floating Rate Cumulative Redeemable Preferred Stock;2020-02-04T00:00:00;2022-09-09T00:00:00;Active
AGO;Assured Guaranty Ltd.;2007-01-03T00:00:00;2022-09-09T00:00:00;Active
AGR;Avangrid;2015-12-17T00:00:00;2022-09-09T00:00:00;Active
AGRI;Agriforce Growing Systems;2021-07-08T00:00:00;2022-09-16T00:00:00;Active
AGRIW;Agriforce Growing Systems Warrant;2021-07-08T00:00:00;2022-09-16T00:00:00;Active
AGRO;Adecoagro S.A.;2011-01-28T00:00:00;2022-09-09T00:00:00;Active
AGRX;Agile Therapeutics Commo;2014-05-23T00:00:00;2022-09-09T00:00:00;Active
AGS;Playags;2018-01-26T00:00:00;2022-09-16T00:00:00;Active
AGTC;Applied Genetic Technologies C;2014-03-27T00:00:00;2022-09-16T00:00:00;Active
AGTI;Agiliti;2021-04-23T00:00:00;2022-09-09T00:00:00;Active
AGX;Argan;2007-08-22T00:00:00;2022-09-09T00:00:00;Active
AGYS;Agilysys;2007-05-03T00:00:00;2022-09-09T00:00:00;Active
AHCO;Adapthealth Corp;2018-05-24T00:00:00;2022-09-16T00:00:00;Active
AHG;Akso Health ADS;2017-11-03T00:00:00;2022-09-09T00:00:00;Active
AHH;Armada Hoffler Properties;2013-08-05T00:00:00;2022-09-09T00:00:00;Active
AHI;Advanced Human Imaging Limited. American Depositary Shares;2021-11-19T00:00:00;2022-09-16T00:00:00;Active
AHPI;Allied Healthcare Products;2007-05-16T00:00:00;2022-09-09T00:00:00;Active
AHT;Ashford Hospitality Trust Inc;2007-05-04T00:00:00;2022-09-09T00:00:00;Active
AI;C3 Ai;2020-12-09T00:00:00;2022-09-09T00:00:00;Active
AIF;Apollo Tactical Income Fund;2013-02-26T00:00:00;2022-09-09T00:00:00;Active
AIG;American International;2005-01-03T00:00:00;2022-09-16T00:00:00;Active
AIH;Aesthetic Medical International Holdings American Depositary Shares;2019-10-25T00:00:00;2022-09-16T00:00:00;Active
AIHS;Senmiao Technology;2018-03-16T00:00:00;2022-09-09T00:00:00;Active
AIKI;Aikido Pharma;2007-05-16T00:00:00;2022-09-09T00:00:00;Active
AIM;Aim Immunotech;2007-05-07T00:00:00;2022-09-09T00:00:00;Active
AIMAW;Aimfinity Investment I Warrant;2022-06-17T00:00:00;2022-09-16T00:00:00;Active
AIMC;Altra Industrial Motion;2007-01-03T00:00:00;2022-09-16T00:00:00;Active
AIN;Albany International;2007-01-03T00:00:00;2022-09-09T00:00:00;Active
AINC;Ashford;2014-11-07T00:00:00;2022-09-16T00:00:00;Active
AINV;Apollo Investment Corp;2005-01-03T00:00:00;2022-08-12T00:00:00;Active
AIO;Virtus Artificial Intelligence & Technology Opportunities Fund Common Shares Of Beneficial Interest;2019-10-29T00:00:00;2022-09-16T00:00:00;Active
AIP;Arteris;2007-05-17T00:00:00;2022-09-16T00:00:00;Active
AIR;Aar;2007-05-02T00:00:00;2022-09-09T00:00:00;Active
AIRC;Taxable Apartment Income Reit;2020-12-15T00:00:00;2022-09-09T00:00:00;Active
AIRG;Airgain;2016-08-12T00:00:00;2022-09-16T00:00:00;Active
AIRI;Air Industries;2007-07-16T00:00:00;2022-09-09T00:00:00;Active
AIRS;Airsculpt Technologies;2021-10-29T00:00:00;2022-09-09T00:00:00;Active
AIRT;Air T;2007-05-16T00:00:00;2022-09-09T00:00:00;Active
AIRTP;Air T Air T Funding Alpha Income Trust Preferred Securities;2019-06-11T00:00:00;2022-09-09T00:00:00;Active
AIT;Applied Industrial Technologies;2007-01-03T00:00:00;2022-09-09T00:00:00;Active
AIU;Meta Data ADS;2022-05-02T00:00:00;2022-09-16T00:00:00;Active
AIV;Apartment Investment & Management;2009-07-21T00:00:00;2022-09-16T00:00:00;Active
AIZ;Assurant;2005-01-03T00:00:00;2022-09-09T00:00:00;Active
AJG;Arthur J. Gallagher & Co.;2005-01-03T00:00:00;2022-09-09T00:00:00;Active
AJRD;Aerojet Rocketdyne Holdings;2007-04-26T00:00:00;2022-09-09T00:00:00;Active
AJX;Great Ajax Corp;2015-02-13T00:00:00;2022-09-09T00:00:00;Active
AKA;A.K.A. Brands Holding;2021-09-22T00:00:00;2022-09-16T00:00:00;Active
AKAM;Akamai Technologies Inc;2005-01-03T00:00:00;2022-09-16T00:00:00;Active
AKAN;Akanda Common Shares;2022-03-15T00:00:00;2022-09-16T00:00:00;Active
AKBA;Akebia Therapeutics Comm;2014-03-20T00:00:00;2022-09-16T00:00:00;Active
AKO.A;Embotelladora Andina S.A.;2007-05-16T00:00:00;2022-09-09T00:00:00;Active
AKO.B;Embotelladora Andina S.A.;2007-05-16T00:00:00;2022-09-09T00:00:00;Active
AKR;Acadia Realty Trust;2007-05-01T00:00:00;2022-09-09T00:00:00;Active
AKRO;Akero Therapeutics;2019-06-20T00:00:00;2022-09-16T00:00:00;Active
AKTS;Akoustis Technologies;2017-03-13T00:00:00;2022-09-16T00:00:00;Active
AKTX;Akari Therapeutics Plc ADS;2014-01-31T00:00:00;2022-09-09T00:00:00;Active
AKU;Akumin Common Shares;2020-09-03T00:00:00;2022-09-16T00:00:00;Active
AKUS;Akouos;2020-06-26T00:00:00;2022-09-16T00:00:00;Active
AKYA;Akoya Biosciences;2021-04-16T00:00:00;2022-09-16T00:00:00;Active
AL;Air Lease Corporation;2011-04-19T00:00:00;2022-09-16T00:00:00;Active
ALB;Albemarle Corp;2005-01-03T00:00:00;2022-09-16T00:00:00;Active
ALBO;Albireo Pharma;2007-05-16T00:00:00;2022-09-09T00:00:00;Active
ALC;Alcon;2019-04-09T00:00:00;2022-09-09T00:00:00;Active
ALCO;Alico;2007-05-16T00:00:00;2022-09-09T00:00:00;Active
ALDX;Aldeyra Therapeutics,;2014-05-02T00:00:00;2022-09-16T00:00:00;Active
ALE;Allete;2007-01-03T00:00:00;2022-09-09T00:00:00;Active
ALEC;Alector;2019-02-07T00:00:00;2022-09-16T00:00:00;Active
ALEX;Alexander & Baldwin;2012-07-02T00:00:00;2022-09-09T00:00:00;Active
ALF;Alfi;2021-05-04T00:00:00;2022-09-16T00:00:00;Active
ALFIW;Alfi Warrant;2021-05-04T00:00:00;2022-09-16T00:00:00;Active
ALG;Alamo;2007-05-16T00:00:00;2022-09-09T00:00:00;Active
ALGM;Allegro Microsystems;2020-11-02T00:00:00;2022-09-16T00:00:00;Active
ALGN;Align Technology;2007-05-01T00:00:00;2022-09-16T00:00:00;Active
ALGS;Aligos Therapeutics;2020-10-16T00:00:00;2022-09-16T00:00:00;Active
ALGT;Allegiant Travel;2007-05-16T00:00:00;2022-09-09T00:00:00;Active
ALHC;Alignment Healthcare;2021-03-26T00:00:00;2022-09-16T00:00:00;Active
ALIM;Alimera Sciences;2010-04-22T00:00:00;2022-09-09T00:00:00;Active
ALIT;Alight,;2020-07-17T00:00:00;2022-09-16T00:00:00;Active
ALJJ;Alj Regional Holdings;2007-05-16T00:00:00;2022-09-16T00:00:00;Active
ALK;Alaska Air Inc;2005-01-03T00:00:00;2022-09-09T00:00:00;Active
ALKS;Alkermes Plc;2007-01-03T00:00:00;2022-09-16T00:00:00;Active
ALKT;Alkami Technology;2021-04-14T00:00:00;2022-09-16T00:00:00;Active
ALL;Allstate Corp;2005-01-03T00:00:00;2022-09-09T00:00:00;Active
ALLE;Allegion;2013-11-18T00:00:00;2022-09-16T00:00:00;Active
ALLG;Allego N.V.;2022-03-17T00:00:00;2022-09-16T00:00:00;Active
ALLK;Allakos;2018-07-19T00:00:00;2022-09-16T00:00:00;Active
ALLO;Allogene Therapeutics;2018-10-11T00:00:00;2022-09-16T00:00:00;Active
ALLR;Allarity Therapeutics;2021-12-21T00:00:00;2022-09-16T00:00:00;Active
ALLT;Allot Ordinary Shares;2007-04-27T00:00:00;2022-09-16T00:00:00;Active
ALLY;Ally Financial;2014-04-10T00:00:00;2022-09-09T00:00:00;Active
ALNA;Allena Pharmaceuticals;2017-11-02T00:00:00;2022-09-16T00:00:00;Active
ALNY;Alnylam Pharmaceuticals;2007-01-03T00:00:00;2022-09-16T00:00:00;Active
ALOT;Astronova;2007-05-16T00:00:00;2022-09-09T00:00:00;Active
ALPN;Alpine Immune Sciences;2015-06-17T00:00:00;2022-09-09T00:00:00;Active
ALPP;Alpine 4 Holdings Class A;2017-01-13T00:00:00;2022-09-16T00:00:00;Active
ALR;Alerislife;2017-07-03T00:00:00;2022-09-09T00:00:00;Active
ALRM;Alarm.com Holdings;2015-06-26T00:00:00;2022-09-16T00:00:00;Active
ALRN;Aileron Therapeutics;2017-06-29T00:00:00;2022-09-16T00:00:00;Active
ALRS;Alerus Finl Corp;2007-05-17T00:00:00;2022-09-09T00:00:00;Active
ALSN;Allison Transmission Holdings;2012-03-15T00:00:00;2022-09-09T00:00:00;Active
ALTG;Alta Equipment;2019-04-25T00:00:00;2022-09-09T00:00:00;Active
ALTO;Alto Ingredients,;2007-04-25T00:00:00;2022-09-09T00:00:00;Active
ALTR;Altair Engineering;2017-11-01T00:00:00;2022-09-16T00:00:00;Active
ALV;Autoliv;2007-01-03T00:00:00;2022-09-09T00:00:00;Active
