Symbol,Name,Sector,Industry,Type,Source,Website,LogoUrl,Exchange,ShortName,LongName,Market,FundFamily,MarketCapValue,YahooTicker,ExchangeCode
RWX.B,CI First Asset MSCI Intl Low Risk Wghtd,,,ETF,,,,TOR,CI MSCI INTL LOW RISK WEIGHT UH,CI MSCI International Low Risk Weighted ETF,ca_market,CI Investments Inc,,RWX-B.TO,TSX
RXD,RBC Quant Emrg Mkts Div Leaders ETF,,,ETF,,,,TOR,RBC QUANT EMERGING MKTS DIV LEA,RBC Quant Emerging Markets Dividend Leaders ETF,ca_market,RBC Global Asset Management Inc.,,RXD.TO,TSX
RXE,RBC Quant Emrg Mkts Equity Leaders ETF,,,ETF,,,,TOR,RBC QUANT EMERG MKTS EQUITY LEA,RBC Quant Emerging Markets Equity Leaders ETF,ca_market,RBC Global Asset Management Inc.,,RXE.TO,TSX
RY,Royal Bank of Canada,Financial Services,Banks—Diversified,EQUITY,,https://www.rbc.com,https://logo.clearbit.com/rbc.com,TOR,ROYAL BANK OF CANADA,Royal Bank of Canada,ca_market,,178895798272,RY.TO,TSX
SGLD,Sabre Gold Mines Corp,Basic Materials,Gold,EQUITY,,https://www.sabre.gold,https://logo.clearbit.com/sabre.gold,TOR,SABRE GOLD MINES CORP,Sabre Gold Mines Corp.,ca_market,,17405190,SGLD.TO,TSX
SGNL,Signal Gold Inc,Basic Materials,Gold,EQUITY,,https://www.anacondamining.com,https://logo.clearbit.com/anacondamining.com,TOR,SIGNAL GOLD INC,Signal Gold Inc.,ca_market,,,SGNL.TO,TSX
SGQ,Southgobi Resources Ltd,Energy,Thermal Coal,EQUITY,,https://www.southgobi.com,https://logo.clearbit.com/southgobi.com,TOR,SOUTHGOBI RESOURCES LTD,SouthGobi Resources Ltd.,ca_market,,37005660,SGQ.TO,TSX
SGR.U,Slate Grocery REIT USD,Real Estate,REIT—Retail,EQUITY,,https://www.slategroceryreit.com,https://logo.clearbit.com/slategroceryreit.com,TOR,SLATE GROCERY REIT USD,Slate Grocery REIT,ca_market,,,SGR-U.TO,TSX
SGR.UN,Slate Grocery REIT,Real Estate,REIT—Retail,EQUITY,,https://www.slategroceryreit.com,https://logo.clearbit.com/slategroceryreit.com,TOR,SLATE GROCERY REIT,Slate Grocery REIT,ca_market,,838328320,SGR-UN.TO,TSX
SGY,Surge Energy Inc,Energy,Oil & Gas E&P,EQUITY,,https://www.surgeenergy.ca,https://logo.clearbit.com/surgeenergy.ca,TOR,SURGE ENERGY INC,Surge Energy Inc.,ca_market,,839004032,SGY.TO,TSX
SGY.DB,Surge Energy Inc 5.75 Pct Debs,,,,,,,,,,,,,SGY-DB.TO,TSX
SGY.DB.A,Surge Energy Inc 6.75 Pct Debs,,,,,,,,,,,,,SGY-DB-A.TO,TSX
SHLE,Source Energy Services Ltd,Energy,Oil & Gas Equipment & Services,EQUITY,,https://www.sourceenergyservices.com,https://logo.clearbit.com/sourceenergyservices.com,TOR,SOURCE ENERGY SERVICES LTD,Source Energy Services Ltd.,ca_market,,23026670,SHLE.TO,TSX
SHOP,Shopify Inc,Technology,Software—Application,EQUITY,,https://www.shopify.com,https://logo.clearbit.com/shopify.com,TOR,SHOPIFY INC,Shopify Inc.,ca_market,,5846680064,SHOP.TO,TSX
SIA,Sienna Senior Living Inc,Healthcare,Medical Care Facilities,EQUITY,,https://www.siennaliving.ca,https://logo.clearbit.com/siennaliving.ca,TOR,SIENNA SENIOR LIVING INC,Sienna Senior Living Inc.,ca_market,,802458048,SIA.TO,TSX
SID,CI First Asset US Trendleaders ETF,,,ETF,,,,TOR,CI US TRENDLEADERS IDX ETF,CI U.S. Trendleaders ETF,ca_market,CI Investments Inc,,SID.TO,TSX
SIH.UN,Sustainable Innovation & Health Dividend,,,EQUITY,,,,TOR,SUSTAINABLE INNOVATION HEALTH D,Sustainable Innovation & Health Dividend Fund,ca_market,,,SIH-UN.TO,TSX
SII,Sprott Inc,Financial Services,Asset Management,EQUITY,,https://www.sprott.com,https://logo.clearbit.com/sprott.com,TOR,SPROTT INC.,Sprott Inc.,ca_market,,1208147968,SII.TO,TSX
SIL,Silvercrest Metals Inc,Basic Materials,Other Precious Metals & Mining,EQUITY,,https://www.silvercrestmetals.com,https://logo.clearbit.com/silvercrestmetals.com,TOR,SILVERCREST METALS INC,SilverCrest Metals Inc.,ca_market,,1014591424,SIL.TO,TSX
SIS,Savaria Corp,Industrials,Specialty Industrial Machinery,EQUITY,,https://www.savaria.com,https://logo.clearbit.com/savaria.com,TOR,SAVARIA CORP.,Savaria Corporation,ca_market,,846290432,SIS.TO,TSX
SJ,Stella Jones Inc,Basic Materials,Lumber & Wood Production,EQUITY,,https://www.stella-jones.com,https://logo.clearbit.com/stella-jones.com,TOR,STELLA JONES INC,Stella-Jones Inc.,ca_market,,2708395264,SJ.TO,TSX
SJR.B,Shaw Communications Inc Cl B NV,Communication Services,Telecom Services,EQUITY,,https://www.shaw.ca,https://logo.clearbit.com/shaw.ca,TOR,"SHAW COMMUNICATIONS INC., CL.B,",Shaw Communications Inc.,ca_market,,16942917632,SJR-B.TO,TSX
SKE,Skeena Resources Ltd,Basic Materials,Other Industrial Metals & Mining,EQUITY,,https://www.skeenaresources.com,https://logo.clearbit.com/skeenaresources.com,TOR,SKEENA RESOURCES LIMITED,Skeena Resources Limited,ca_market,,404445312,SKE.TO,TSX
SKYY,First Trust Cloud Computing ETF,,,ETF,,,,TOR,FIRST TRUST CLOUD COMPUTING ETF,First Trust AlphaDEX U.S. Utilities Sector Index ETF,ca_market,FT Portfolios Canada Co,,SKYY.TO,TSX
SLF,Sun Life Financial Inc,Financial Services,Insurance—Diversified,EQUITY,,https://www.sunlife.com,https://logo.clearbit.com/sunlife.com,TOR,SUN LIFE FINANCIAL INC.,Sun Life Financial Inc.,ca_market,,34088433664,SLF.TO,TSX
SLF.PR.C,Sun Life Pref Ser 3,,,,,,,,,,,,,SLF-PR-C.TO,TSX
SLF.PR.D,Sun Life Pref Ser 4,,,,,,,,,,,,,SLF-PR-D.TO,TSX
SLF.PR.E,Sun Life Pref Ser 5,,,,,,,,,,,,,SLF-PR-E.TO,TSX
SLF.PR.G,Sun Life Pref Ser 8R,,,,,,,,,,,,,SLF-PR-G.TO,TSX
SLF.PR.H,Sun Life Pref Ser H,,,,,,,,,,,,,SLF-PR-H.TO,TSX
SLF.PR.J,Sun Life Pref Ser 9Qr,,,,,,,,,,,,,SLF-PR-J.TO,TSX
SLF.PR.K,Sun Life Pref Ser 11Qr,,,,,,,,,,,,,SLF-PR-K.TO,TSX
SLR,Solitario Zinc Corp,Basic Materials,Other Industrial Metals & Mining,EQUITY,,https://www.solitarioxr.com,https://logo.clearbit.com/solitarioxr.com,TOR,SOLITARIO ZINC CORP,Solitario Zinc Corp.,ca_market,,48388392,SLR.TO,TSX
SLS,Solaris Resources Inc,Basic Materials,Other Precious Metals & Mining,EQUITY,,https://www.solarisresources.com,https://logo.clearbit.com/solarisresources.com,TOR,SOLARIS RESOURCES INC,Solaris Resources Inc.,ca_market,,531075392,SLS.TO,TSX
SMA,Standard Mercantile Acq Corp,Financial Services,Asset Management,EQUITY,,https://www.trezcapitalseniormic.com/,https://logo.clearbit.com/trezcapitalseniormic.com,TOR,STANDARD MERCANTILE ACQUISITION,Standard Mercantile Acquisition Corp.,ca_market,,9074407,SMA.TO,TSX
SMC,Sulliden Mining Capital Inc,Basic Materials,Other Industrial Metals & Mining,EQUITY,,https://www.sulliden.com,https://logo.clearbit.com/sulliden.com,TOR,SULLIDEN MINING CAPITAL INC,Sulliden Mining Capital Inc.,ca_market,,4647420,SMC.TO,TSX
SMT,Sierra Metals Inc,Basic Materials,Other Industrial Metals & Mining,EQUITY,,https://www.sierrametals.com,https://logo.clearbit.com/sierrametals.com,TOR,SIERRA METALS INC,Sierra Metals Inc.,ca_market,,49020000,SMT.TO,TSX
SMU.UN,Summit Industrial Income REIT,Real Estate,REIT—Industrial,EQUITY,,https://www.summitIIreit.com,https://logo.clearbit.com/summitIIreit.com,TOR,SUMMIT INDUSTRIAL INCOME REIT,Summit Industrial Income REIT,ca_market,,3128202240,SMU-UN.TO,TSX
SNC,Snc-Lavalin Sv,Industrials,Engineering & Construction,EQUITY,,https://www.snclavalin.com,https://logo.clearbit.com/snclavalin.com,TOR,SNC-LAVALIN SV,SNC-Lavalin Group Inc.,ca_market,,4136052224,SNC.TO,TSX
SOLG,Solgold Plc,Basic Materials,Other Industrial Metals & Mining,EQUITY,,https://www.solgold.com.au,https://logo.clearbit.com/solgold.com.au,TOR,SOLGOLD PLC,SolGold Plc,ca_market,,579192512,SOLG.TO,TSX
SOT.DB,Slate Office REIT 5.25 Pct Debs,,,,,,,,,,,,,SOT-DB.TO,TSX
SOT.DB.A,Slate Office REIT 5.5 Pct Debs,,,,,,,,,,,,,SOT-DB-A.TO,TSX
SOT.DB.B,Slate Office REIT 7.50 Pct Debs,,,,,,,,,,,,,SOT-DB-B.TO,TSX
