Symbol,Name,Sector,Industry,Type,Source,Website,LogoUrl,Exchange,ShortName,LongName,Market,FundFamily,MarketCapValue,YahooTicker,ExchangeCode
AMI,Athabasca Minerals Inc,Basic Materials,Other Industrial Metals & Mining,EQUITY,,https://www.athabascaminerals.com,https://logo.clearbit.com/athabascaminerals.com,VAN,ATHABASCA MINERALS INC,Athabasca Minerals Inc.,ca_market,,15356480,AMI.V,TSXV
AMK,American Creek Resources Ltd,Basic Materials,Other Precious Metals & Mining,EQUITY,,https://www.americancreek.com,https://logo.clearbit.com/americancreek.com,VAN,AMERICAN CREEK RESOURCES LTD.,American Creek Resources Ltd.,ca_market,,57162948,AMK.V,TSXV
AML,Akwaaba Mining Ltd,Basic Materials,Gold,EQUITY,,https://castlepeakmining.com,https://logo.clearbit.com/castlepeakmining.com,VAN,AKWAABA MINING LTD,Akwaaba Mining Ltd.,ca_market,,,AML.V,TSXV
AMMO,Bullet Exploration Inc,Basic Materials,Other Industrial Metals & Mining,EQUITY,,https://bulletexploration.com,https://logo.clearbit.com/bulletexploration.com,VAN,BULLET EXPLORATION INC,Bullet Exploration Inc.,ca_market,,585495,AMMO.V,TSXV
AMO,Altan Rio Minerals Ltd,Basic Materials,Gold,EQUITY,,https://www.altanrio.com,https://logo.clearbit.com/altanrio.com,VAN,ALTAN RIO MINERALS LIMITED,Altan Rio Minerals Limited,ca_market,,4799760,AMO.V,TSXV
AMRQ,Amaroq Minerals Ltd,Basic Materials,Gold,EQUITY,,https://www.amaroqminerals.com,https://logo.clearbit.com/amaroqminerals.com,VAN,AMAROQ MINERALS LTD,Amaroq Minerals Ltd.,ca_market,,,AMRQ.V,TSXV
AMX,AMEX Exploration Inc,Basic Materials,Gold,EQUITY,,https://www.amexexploration.com,https://logo.clearbit.com/amexexploration.com,VAN,AMEX EXPLORATION INC,Amex Exploration Inc.,ca_market,,159716560,AMX.V,TSXV
AMY,American Manganese Inc,Basic Materials,Other Industrial Metals & Mining,EQUITY,,https://www.americanmanganeseinc.com,https://logo.clearbit.com/americanmanganeseinc.com,VAN,AMERICAN MANGANESE INC,American Manganese Inc.,ca_market,,77101760,AMY.V,TSXV
AMZ,Azucar Minerals Ltd,Basic Materials,Other Precious Metals & Mining,EQUITY,,https://www.azucarminerals.com,https://logo.clearbit.com/azucarminerals.com,VAN,AZUCAR MINERALS LTD,Azucar Minerals Ltd.,ca_market,,4060595,AMZ.V,TSXV
AN,Arena Minerals Inc,Basic Materials,Copper,EQUITY,,https://www.arenaminerals.com,https://logo.clearbit.com/arenaminerals.com,VAN,ARENA MINERALS INC,Arena Minerals Inc.,ca_market,,148908960,AN.V,TSXV
ANE,Altan Nevada Minerals Ltd,Basic Materials,Other Industrial Metals & Mining,EQUITY,,https://www.altnev.com,https://logo.clearbit.com/altnev.com,VAN,ALTAN NEVADA MINERALS LIMITED,Altan Nevada Minerals Limited,ca_market,,9053915,ANE.V,TSXV
ANK,Angkor Resources Corp,Basic Materials,Gold,EQUITY,,https://www.angkorresources.ca,https://logo.clearbit.com/angkorresources.ca,VAN,ANGKOR RESOURCES CORP,Angkor Resources Corp.,ca_market,,13954951,ANK.V,TSXV
ANTL,Antler Gold Inc,Basic Materials,Gold,EQUITY,,https://www.antlergold.com,https://logo.clearbit.com/antlergold.com,VAN,ANTLER GOLD INC,Antler Gold Inc.,ca_market,,7963836,ANTL.V,TSXV
ANZ,Alianza Minerals Ltd,Basic Materials,Other Precious Metals & Mining,EQUITY,,https://alianzaminerals.com,https://logo.clearbit.com/alianzaminerals.com,VAN,ALIANZA MINERALS LTD,Alianza Minerals Ltd.,ca_market,,5206285,ANZ.V,TSXV
AORO,Aloro Mining Corp,Basic Materials,Gold,EQUITY,,https://www.aloromining.com,https://logo.clearbit.com/aloromining.com,VAN,ALORO MINING CORP,Aloro Mining Corp.,ca_market,,826939,AORO.V,TSXV
APC,Advanced Proteome Therapeutics Corp,Healthcare,Biotechnology,EQUITY,,https://www.advancedproteome.com,https://logo.clearbit.com/advancedproteome.com,VAN,ADVANCED PROTEOME THERAPEUTICS ,Advanced Proteome Therapeutics Corporation,ca_market,,3020048,APC.V,TSXV
APGO,Apollo Silver Corp,Basic Materials,Silver,EQUITY,,https://apollosilver.com,https://logo.clearbit.com/apollosilver.com,VAN,APOLLO SILVER CORP,Apollo Silver Corp.,ca_market,,21877694,APGO.V,TSXV
APL,Appulse Corp,Industrials,Pollution & Treatment Controls,EQUITY,,https://www.appulsecorp.net,https://logo.clearbit.com/appulsecorp.net,VAN,APPULSE CORP.,Appulse Corporation,ca_market,,3492050,APL.V,TSXV
APM,00Neandean Precious Metals Corp,Basic Materials,Silver,EQUITY,,https://www.andeanpm.com,https://logo.clearbit.com/andeanpm.com,VAN,ANDEAN PRECIOUS METALS CORP,Andean Precious Metals Corp.,ca_market,,107082320,APM.V,TSXV
APMI,Apogee Minerals Ltd,Basic Materials,Gold,EQUITY,,https://www.apogeemineralsltd.com,https://logo.clearbit.com/apogeemineralsltd.com,VAN,APOGEE MINERALS LTD,Apogee Minerals Ltd.,ca_market,,,APMI.V,TSXV
APN,Altiplano Minerals Ltd,Basic Materials,Other Industrial Metals & Mining,EQUITY,,https://www.apnmetals.com,https://logo.clearbit.com/apnmetals.com,VAN,ALTIPLANO METALS INC,Altiplano Metals Inc.,ca_market,,21556260,APN.V,TSXV
APX,Apex Resources Inc,Basic Materials,Other Industrial Metals & Mining,EQUITY,,https://www.apxresources.com,https://logo.clearbit.com/apxresources.com,VAN,APEX RESOURCES INC,Apex Resources Inc.,ca_market,,1228120,APX.V,TSXV
AQS,Aequus Pharmaceuticals Inc,Healthcare,Drug Manufacturers—Specialty & Generic,EQUITY,,https://www.aequuspharma.ca,https://logo.clearbit.com/aequuspharma.ca,VAN,AEQUUS PHARMACEUTICALS INC,Aequus Pharmaceuticals Inc.,ca_market,,6631700,AQS.V,TSXV
ARCH,Arch Biopartners Inc,Healthcare,Biotechnology,EQUITY,,https://www.archbiopartners.com,https://logo.clearbit.com/archbiopartners.com,VAN,ARCH BIOPARTNERS INC,Arch Biopartners Inc.,ca_market,,176592544,ARCH.V,TSXV
ARD,Armada Data Corp,Communication Services,Internet Content & Information,EQUITY,,https://www.armadadata.com,https://logo.clearbit.com/armadadata.com,VAN,ARMADA DATA CORP.,Armada Data Corporation,ca_market,,1060218,ARD.V,TSXV
ARH,Altima Resources Ltd,Energy,Oil & Gas E&P,EQUITY,,https://www.altimaresources.com,https://logo.clearbit.com/altimaresources.com,VAN,ALTIMA RESOURCES LTD.,Altima Resources Ltd.,ca_market,,1378996,ARH.V,TSXV
ARIC,Awale Resources Ltd,Basic Materials,Gold,EQUITY,,https://www.awaleresources.com,https://logo.clearbit.com/awaleresources.com,VAN,AWALE RESOURCES LIMITED,Awalé Resources Limited,ca_market,,3035253,ARIC.V,TSXV
