Symbol,Name,Sector,Industry,Type,Source,Website,LogoUrl,Exchange,ShortName,LongName,Market,FundFamily,MarketCapValue,YahooTicker,ExchangeCode
LSL,Lsl Property Services Plc,Real Estate,Real Estate Services,EQUITY,,https://www.lslps.co.uk,https://logo.clearbit.com/lslps.co.uk,LSE,LSL PROPERTY SERVICES PLC ORD 0,LSL Property Services plc,gb_market,,327044480,LSL.L,LSE
LSPU,Multi Units Luxembourg,,,ETF,,,,LSE,MULTI UNITS LUXEMBOURG LYXOR ET,Lyxor S&P 500 UCITS ETF,gb_market,Lyxor International Asset Management S.A.S.,,LSPU.L,LSE
LSPX,Multi Units Luxembourg,,,ETF,,,,LSE,MULTI UNITS LUXEMBOURG LYXOR ET,Lyxor S&P 500 UCITS ETF,gb_market,Lyxor International Asset Management S.A.S.,,LSPX.L,LSE
LST,,Technology,Electronic Components,EQUITY,,https://lightsciencetechnologiesholdings.com,https://logo.clearbit.com/lightsciencetechnologiesholdings.com,LSE,LIGHT SCIENCE TECHNOLOGIES HOLD,Light Science Technologies Holdings Plc,gb_market,,11406825,LST.L,LSE
LSUG,ETFS Commodity Securities Limited,,,ETF,,,,LSE,WISDOMTREE COMMODITY SECURITIES,WisdomTree Sugar 2x Daily Leveraged,gb_market,WisdomTree Commodity Securities Limited,,LSUG.L,LSE
LTAM,Ishares II Plc,,,ETF,,,,LSE,ISHARES II PLC ISHRS MSCI EM LA,iShares MSCI EM Latin America UCITS ETF,gb_market,BlackRock Asset Management Ireland - ETF,,LTAM.L,LSE
LTG,Learning Technologies Gr,Technology,Software—Application,EQUITY,,https://www.ltgplc.com,https://logo.clearbit.com/ltgplc.com,LSE,LEARNING TECHNOLOGIES GROUP PLC,Learning Technologies Group plc,gb_market,,873048064,LTG.L,LSE
LTHM,Latham [James] Plc,Basic Materials,Lumber & Wood Production,EQUITY,,https://www.lathamtimber.co.uk,https://logo.clearbit.com/lathamtimber.co.uk,LSE,LATHAM (JAMES) PLC ORD 25P,James Latham plc,gb_market,,225444048,LTHM.L,LSE
LTI,Lindsell Train Investment Trust Plc,Financial Services,Asset Management,EQUITY,,https://www.lindselltrain.com/investment-strategies/global/lindsell-train-investment-trust.aspx,https://logo.clearbit.com/lindselltrain.com,LSE,LINDSELL TRAIN INVESTMENT TRUST,Lindsell Train Investment Trust Plc,gb_market,,196000000,LTI.L,LSE
LTOD,Larsen and Toubro Limite,,,MUTUALFUND,,,,YHD,,Larsen & Toubro Limited,us_market,,,LTOD.L,LSE
LUCE,Luceco Plc,Industrials,Electrical Equipment & Parts,EQUITY,,https://www.luceco.com,https://logo.clearbit.com/luceco.com,LSE,LUCECO PLC ORD GBP0.0005,Luceco plc,gb_market,,137484000,LUCE.L,LSE
LUD5,ETFS Foreign Exchange Limited,,,ETF,,,,LSE,WISDOMTREE FOREIGN EXCHANGE LIM,WisdomTree Short EUR Long USD 5x Daily,gb_market,WisdomTree Foreign Exchange Limited,,LUD5.L,LSE
LUK2,Go Ucits ETF Solutions P,,,ETF,,,,LSE,LEGAL & GENERAL UCITS ETF PUBLI,L&G FTSE 100 Leveraged (Daily 2x) UCITS ETF,gb_market,LGIM Managers (Europe) Limited,,LUK2.L,LSE
LUMV,Ossiam Lux,,,ETF,,,,LSE,OSSIAM IRL ICAV OSSIAM ETF US M,Ossiam US Minimum Variance ESG NR UCITS ETF,gb_market,OSSIAM,,LUMV.L,LSE
LUSC,SSGA SPDR ETFS Europe I Plc,,,ETF,,,,LSE,SSGA SPDR ETFS EUROPE I PLC SPD,SPDR Bloomberg 10+ Year U.S. Corporate Bond UCITS ETF,gb_market,State Street Global Advisors Ltd,,LUSC.L,LSE
LUTR,SSGA SPDR ETFS Europe I Plc,,,ETF,,,,LSE,SSGA SPDR ETFS EUROPE I PLC SPD,SPDR Bloomberg 10+ Year U.S. Treasury Bond UCITS ETF,gb_market,State Street Global Advisors Ltd,,LUTR.L,LSE
LUXG,Amundi ETF,,,ETF,,,,LSE,AMUNDI INDEX SOLUTIONS AMUNDI S,Amundi Index Solutions - Amundi S&P Global Luxury,gb_market,Amundi Luxembourg S.A.,,LUXG.L,LSE
LUXU,Amundi ETF,,,ETF,,,,LSE,AMUNDI INDEX SOLUTIONS AMUNDI S,Amundi Index Solutions - Amundi S&P Global Luxury,gb_market,Amundi Luxembourg S.A.,,LUXU.L,LSE
LVCG,Live Company Group Plc,Communication Services,Entertainment,EQUITY,,https://www.livecompanygroup.com,https://logo.clearbit.com/livecompanygroup.com,LSE,LIVE COMPANY GROUP PLC ORD 1P,Live Company Group Plc,gb_market,,5001944,LVCG.L,LSE
LVFIDN,FTSE Indonesia Low Volatility Factor Ind,,,,,,,,,,,,,LVFIDN.L,LSE
LWDB,Law Debenture Corporation Plc,Financial Services,Asset Management,EQUITY,,https://www.lawdebenture.com,https://logo.clearbit.com/lawdebenture.com,LSE,LAW DEBENTURE CORPORATION PLC O,The Law Debenture Corporation p.l.c.,gb_market,,855495424,LWDB.L,LSE
LWEA,ETFS Commodity Securities Limited,,,ETF,,,,LSE,WISDOMTREE COMMODITY SECURITIES,WisdomTree Wheat 2x Daily Leveraged,gb_market,WisdomTree Commodity Securities Limited,,LWEA.L,LSE
LWI,Lowland Investment Company Plc,Financial Services,Asset Management,EQUITY,,https://www.henderson.com/ukpi/fund/167/lowland-investment-company-plc,https://logo.clearbit.com/henderson.com,LSE,LOWLAND INVESTMENT COMPANY PLC ,Lowland Investment Company plc,gb_market,,30319814,LWI.L,LSE
LXI,Lxi REIT Plc,Real Estate,REIT—Diversified,EQUITY,,https://www.lxireit.com,https://logo.clearbit.com/lxireit.com,LSE,LXI REIT PLC ORD 1P,LXI REIT plc,gb_market,,857954816,LXI.L,LSE
