Symbol,Name,Sector,Industry,Type,Source,Website,LogoUrl,Exchange,ShortName,LongName,Market,FundFamily,MarketCapValue,YahooTicker,ExchangeCode
CMD,Cassius Mining Limited,Basic Materials,Other Industrial Metals & Mining,EQUITY,,https://www.cassiusmining.com,https://logo.clearbit.com/cassiusmining.com,ASX,CASSISUSMI FPO,Cassius Mining Limited,au_market,,11950741,CMD.AX,ASX
CML,Coles Myer Ltd,Basic Materials,Other Industrial Metals & Mining,EQUITY,,https://www.chasemining.com.au,https://logo.clearbit.com/chasemining.com.au,ASX,CHASE MINE FPO,Chase Mining Corporation Limited,au_market,,6553862,CML.AX,ASX
CMM,Capricorn Metals Ltd,Basic Materials,Gold,EQUITY,,https://capmetals.com.au,https://logo.clearbit.com/capmetals.com.au,ASX,CAPMETALS FPO,Capricorn Metals Ltd,au_market,,1292364416,CMM.AX,ASX
CMO,CommodiTel Ltd,Basic Materials,Other Industrial Metals & Mining,EQUITY,,https://www.cosmometals.com.au,https://logo.clearbit.com/cosmometals.com.au,ASX,COSMOMETAL FPO,Cosmo Metals Limited,au_market,,,CMO.AX,ASX
CMP,Compumedics Ltd,Healthcare,Medical Devices,EQUITY,,https://www.compumedics.com.au,https://logo.clearbit.com/compumedics.com.au,ASX,COMPUMEDIC FPO,Compumedics Limited,au_market,,45741572,CMP.AX,ASX
CMW,Cromwell Corporation Ltd,Real Estate,REIT—Office,EQUITY,,https://www.cromwellpropertygroup.com,https://logo.clearbit.com/cromwellpropertygroup.com,ASX,CROMWELL STAPLED,Cromwell Property Group,au_market,,6242665984,CMW.AX,ASX
CMWKOA,Cromwell Property Group,,,,,,,,,,,,,CMWKOA.AX,ASX
CMWKOB,Cromwell Property Group,,,,,,,,,,,,,CMWKOB.AX,ASX
CMWKOC,Cromwell Property Group,,,,,,,,,,,,,CMWKOC.AX,ASX
CMX,Climax Mining Ltd,Industrials,Electrical Equipment & Parts,EQUITY,,https://chemxmaterials.com.au,https://logo.clearbit.com/chemxmaterials.com.au,ASX,CHEMX FPO,ChemX Materials Limited,au_market,,,CMX.AX,ASX
CMXO,Chemx Materials Limited,,,,,,,,,,,,,CMXO.AX,ASX
CNB,Canberra Investment Corporation Ltd,Basic Materials,Other Precious Metals & Mining,EQUITY,,https://carnabyresources.com.au,https://logo.clearbit.com/carnabyresources.com.au,ASX,CARNABYRES FPO,Carnaby Resources Limited,au_market,,105460352,CNB.AX,ASX
CNEW,Vaneck Vectors China New Economy,,,ETF,,,,ASX,VE CH NEW ETF UNITS,VanEck China New Economy ETF,au_market,VanEck Investments Limited,,CNEW.AX,ASX
CNI,Centuria Capital Limited,Financial Services,Asset Management,EQUITY,,https://www.centuria.com.au,https://logo.clearbit.com/centuria.com.au,ASX,CENTURIA STAPLED,Centuria Capital Group,au_market,,4634347520,CNI.AX,ASX
CNJ,Conico Ltd,Basic Materials,Other Industrial Metals & Mining,EQUITY,,https://www.conico.com.au,https://logo.clearbit.com/conico.com.au,ASX,CONICO LTD FPO,Conico Ltd,au_market,,45009452,CNJ.AX,ASX
CNJO,Conico Ltd,,,,,,,,,,,,,CNJO.AX,ASX
