Symbol,Name,Sector,Industry,Type,Source,Website,LogoUrl,Exchange,ShortName,LongName,Market,FundFamily,MarketCapValue,YahooTicker,ExchangeCode
MCB,Mccoy Global Inc,Energy,Oil & Gas Equipment & Services,EQUITY,,https://www.mccoyglobal.com,https://logo.clearbit.com/mccoyglobal.com,TOR,MCCOY GLOBAL INC,McCoy Global Inc.,ca_market,,26996624,MCB.TO,TSX
MCLC,Manulife Mltfactor CDN Large Cap Uh ETF,,,ETF,,,,TOR,MANULIFE MLTFACTOR CDN LARGE CA,Manulife Multifactor Canadian Large Cap Index ETF,ca_market,Manulife Investments,,MCLC.TO,TSX
MCON,Mackenzie Conservative Allocation CAD,,,ETF,,,,TOR,MACKENZIE CONSERVATIVE ALLOCATI,Mackenzie Conservative Allocation ETF,ca_market,Mackenzie Investments,,MCON.TO,TSX
MCSB,Mackenzie CDN Short Term Fixed Inc ETF,,,ETF,,,,TOR,MACKENZIE CDN SHORT TERM FIXED ,Mackenzie Canadian Short Term Fixed Income ETF,ca_market,Mackenzie Financial Corporation,,MCSB.TO,TSX
MCSM,Manulife Mulfact CDN Smid Cap Idx ETF,,,ETF,,,,TOR,MANULIFE MULFACT CDN SMID CAP I,Manulife Multifactor Canadian SMID Cap Index ETF,ca_market,Manulife Investments,,MCSM.TO,TSX
MDA,Mda Ltd,Industrials,Aerospace & Defense,EQUITY,,https://www.mda.space,https://logo.clearbit.com/mda.space,TOR,MDA LTD,MDA Ltd.,ca_market,,896124608,MDA.TO,TSX
MDF,Mdf Commerce Inc,Communication Services,Internet Content & Information,EQUITY,,https://www.mdfcommerce.com,https://logo.clearbit.com/mdfcommerce.com,TOR,MDF COMMERCE INC,mdf commerce inc.,ca_market,,98055104,MDF.TO,TSX
MDI,Major Drilling Grp,Basic Materials,Other Industrial Metals & Mining,EQUITY,,https://www.majordrilling.com,https://logo.clearbit.com/majordrilling.com,TOR,MAJOR DRILLING GRP,Major Drilling Group International Inc.,ca_market,,637924160,MDI.TO,TSX
MDIV,Middlefield Sustainable Global Dividend,,,ETF,,,,TOR,MIDDLEFIELD SUSTAIN GLBL DIV ET,Middlefield Sustainable Global Dividend ETF,ca_market,,,MDIV.TO,TSX
MDNA,Medicenna Therapeutics Corp,Healthcare,Biotechnology,EQUITY,,https://www.medicenna.com,https://logo.clearbit.com/medicenna.com,TOR,MEDICENNA THERAPEUTICS CORP,Medicenna Therapeutics Corp.,ca_market,,77994008,MDNA.TO,TSX
