date,open,high,low,close,volume,average,barCount
2025-09-26 11:30:00-04:00,255.97,256.04,255.81,255.84,93651.0,255.96,467
2025-09-26 11:31:00-04:00,255.85,255.88,255.77,255.83,32058.0,255.818,217
2025-09-26 11:32:00-04:00,255.82,255.88,255.75,255.86,52393.0,255.814,345
2025-09-26 11:33:00-04:00,255.84,255.86,255.67,255.73,27245.0,255.748,202
2025-09-26 11:34:00-04:00,255.73,255.84,255.73,255.75,25351.0,255.784,149
2025-09-26 11:35:00-04:00,255.74,255.83,255.71,255.73,22096.0,255.772,161
2025-09-26 11:36:00-04:00,255.74,255.87,255.73,255.75,26129.0,255.821,183
2025-09-26 11:37:00-04:00,255.74,255.78,255.58,255.63,71311.0,255.673,439
2025-09-26 11:38:00-04:00,255.64,255.65,255.35,255.38,68338.0,255.476,388
2025-09-26 11:39:00-04:00,255.38,255.38,255.21,255.27,47377.0,255.276,282
2025-09-26 11:40:00-04:00,255.27,255.32,255.08,255.09,41088.0,255.193,256
2025-09-26 11:41:00-04:00,255.11,255.13,255.0,255.07,51499.0,255.069,235
2025-09-26 11:42:00-04:00,255.08,255.14,254.89,255.01,61385.0,255.023,364
2025-09-26 11:43:00-04:00,255.0,255.03,254.86,254.97,56317.0,254.953,317
2025-09-26 11:44:00-04:00,254.96,254.99,254.9,254.93,48245.0,254.955,300
2025-09-26 11:45:00-04:00,254.93,255.03,254.87,254.95,88991.0,254.967,509
2025-09-26 11:46:00-04:00,254.94,255.28,254.94,255.19,90839.0,255.132,503
2025-09-26 11:47:00-04:00,255.21,255.28,255.13,255.22,30398.0,255.22,205
2025-09-26 11:48:00-04:00,255.22,255.36,255.22,255.27,38671.0,255.291,225
2025-09-26 11:49:00-04:00,255.34,255.5,255.32,255.49,76774.0,255.41,490
2025-09-26 11:50:00-04:00,255.5,255.53,255.31,255.31,35856.0,255.445,264
2025-09-26 11:51:00-04:00,255.32,255.48,255.29,255.44,27328.0,255.361,202
2025-09-26 11:52:00-04:00,255.45,255.49,255.31,255.34,27885.0,255.408,205
2025-09-26 11:53:00-04:00,255.34,255.4,255.18,255.2,41632.0,255.286,310
2025-09-26 11:54:00-04:00,255.19,255.28,255.12,255.23,45706.0,255.205,307
2025-09-26 11:55:00-04:00,255.23,255.28,255.15,255.19,51627.0,255.192,392
2025-09-26 11:56:00-04:00,255.19,255.28,255.19,255.23,38691.0,255.239,324
2025-09-26 11:57:00-04:00,255.24,255.41,255.19,255.41,37451.0,255.256,293
2025-09-26 11:58:00-04:00,255.4,255.4,255.17,255.18,23504.0,255.289,190
2025-09-26 11:59:00-04:00,255.17,255.2,255.05,255.06,31396.0,255.13,220
2025-09-26 12:00:00-04:00,255.07,255.14,255.04,255.07,30517.0,255.083,199
2025-09-26 12:01:00-04:00,255.07,255.09,254.93,254.99,35764.0,255.016,234
2025-09-26 12:02:00-04:00,255.0,255.06,254.98,255.03,29192.0,255.021,222
2025-09-26 12:03:00-04:00,255.03,255.17,255.02,255.05,42543.0,255.067,333
2025-09-26 12:04:00-04:00,255.05,255.12,254.99,255.06,24748.0,255.055,200
2025-09-26 12:05:00-04:00,255.07,255.1,254.92,255.01,47473.0,255.002,286
2025-09-26 12:06:00-04:00,255.03,255.2,255.03,255.2,37301.0,255.113,265
2025-09-26 12:07:00-04:00,255.2,255.24,255.03,255.15,58172.0,255.144,398
2025-09-26 12:08:00-04:00,255.16,255.18,255.05,255.08,26630.0,255.109,207
2025-09-26 12:09:00-04:00,255.08,255.19,255.06,255.16,22078.0,255.119,158
2025-09-26 12:10:00-04:00,255.17,255.23,255.11,255.2,24123.0,255.157,159
2025-09-26 12:11:00-04:00,255.22,255.33,255.19,255.2,25829.0,255.26,170
2025-09-26 12:12:00-04:00,255.21,255.31,255.18,255.27,35597.0,255.239,192
2025-09-26 12:13:00-04:00,255.26,255.26,255.13,255.19,40422.0,255.185,320
2025-09-26 12:14:00-04:00,255.19,255.27,255.13,255.14,38156.0,255.201,304
2025-09-26 12:15:00-04:00,255.16,255.23,255.12,255.18,26891.0,255.18,229
2025-09-26 12:16:00-04:00,255.17,255.18,255.0,255.02,26853.0,255.091,220
2025-09-26 12:17:00-04:00,255.03,255.17,254.97,255.1,46813.0,255.059,300
2025-09-26 12:18:00-04:00,255.11,255.13,255.03,255.11,18873.0,255.085,136
2025-09-26 12:19:00-04:00,255.11,255.28,255.1,255.27,25082.0,255.187,154
2025-09-26 12:20:00-04:00,255.27,255.39,255.2,255.39,59050.0,255.287,368
2025-09-26 12:21:00-04:00,255.4,255.5,255.36,255.42,83023.0,255.431,443
2025-09-26 12:22:00-04:00,255.42,255.52,255.32,255.52,55194.0,255.405,310
2025-09-26 12:23:00-04:00,255.51,255.53,255.42,255.43,37944.0,255.493,223
2025-09-26 12:24:00-04:00,255.43,255.63,255.43,255.61,42648.0,255.569,229
2025-09-26 12:25:00-04:00,255.62,255.71,255.61,255.63,40977.0,255.669,255
2025-09-26 12:26:00-04:00,255.64,255.67,255.53,255.53,27147.0,255.619,179
2025-09-26 12:27:00-04:00,255.55,255.65,255.51,255.51,30081.0,255.586,214
2025-09-26 12:28:00-04:00,255.51,255.53,255.43,255.45,53124.0,255.474,304
2025-09-26 12:29:00-04:00,255.46,255.7,255.45,255.67,29347.0,255.602,205
2025-09-26 12:30:00-04:00,255.66,255.76,255.65,255.76,39564.0,255.724,237
2025-09-26 12:31:00-04:00,255.77,255.83,255.74,255.79,60496.0,255.796,307
2025-09-26 12:32:00-04:00,255.79,255.86,255.67,255.68,30388.0,255.794,187
2025-09-26 12:33:00-04:00,255.66,255.69,255.52,255.53,18255.0,255.629,130
2025-09-26 12:34:00-04:00,255.52,255.71,255.48,255.69,35789.0,255.537,253
2025-09-26 12:35:00-04:00,255.7,255.77,255.63,255.7,24091.0,255.703,191
2025-09-26 12:36:00-04:00,255.7,255.8,255.68,255.77,17987.0,255.759,150
2025-09-26 12:37:00-04:00,255.78,255.93,255.76,255.91,29599.0,255.866,183
2025-09-26 12:38:00-04:00,255.9,255.94,255.87,255.88,28810.0,255.908,161
2025-09-26 12:39:00-04:00,255.87,255.89,255.77,255.81,28560.0,255.838,178
2025-09-26 12:40:00-04:00,255.8,255.85,255.65,255.69,14742.0,255.735,105
2025-09-26 12:41:00-04:00,255.69,255.8,255.67,255.78,19518.0,255.73,132
2025-09-26 12:42:00-04:00,255.79,255.83,255.77,255.78,15835.0,255.792,84
2025-09-26 12:43:00-04:00,255.78,255.84,255.77,255.78,15799.0,255.8,97
2025-09-26 12:44:00-04:00,255.79,255.84,255.73,255.74,19525.0,255.791,144
2025-09-26 12:45:00-04:00,255.73,255.82,255.71,255.73,22910.0,255.769,142
2025-09-26 12:46:00-04:00,255.72,255.83,255.68,255.81,39108.0,255.779,159
2025-09-26 12:47:00-04:00,255.8,255.8,255.76,255.77,11755.0,255.78,63
2025-09-26 12:48:00-04:00,255.76,255.78,255.65,255.74,20720.0,255.728,138
2025-09-26 12:49:00-04:00,255.75,255.81,255.73,255.8,19047.0,255.785,108
