Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
UUUU,Energy Fuels Inc Ordinary Shares (Canada),$6.17,-0.09,-1.438%,1297187013.00,Canada,,5643386,Industrials,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
VENU,Venu Holding Corporation Common Stock,$12.79,0.30,2.402%,479888896.00,United States,2024,41154,Consumer Discretionary,Services-Misc. Amusement & Recreation
VFL,abrdn National Municipal Income Fund Common Stock,$9.73,-0.05,-0.511%,0.00,United States,1993,33888,Finance,Finance/Investors Services
VGZ,Vista Gold Corp Common Stock,$0.9964,-0.0026,-0.26%,124381112.00,United States,1986,251584,Basic Materials,Precious Metals
VKI,Invesco Advantage Municipal Income Trust II Common Shares of Beneficial Interest (DE),$8.45,0.03,0.356%,375230869.00,United States,1993,47281,Finance,Finance Companies
VNRX,VolitionRX Limited Common Stock,$0.74,-0.0115,-1.53%,76236781.00,Singapore,2015,235762,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
VNTG,Vantage Corp Class A Ordinary Shares,$4.10,-0.03,-0.726%,128125000.00,,2025,41348,,
VTAK,Catheter Precision Inc. Common Stock,$0.2325,-0.0115,-4.713%,2561522.00,,2018,737385,Health Care,Medical/Dental Instruments
VZLA,Vizsla Silver Corp. Common Shares,$3.01,0.03,1.007%,862716475.00,Canada,2024,3666558,Basic Materials,Precious Metals
WRN,Western Copper and Gold Corporation Common Stock,$1.245,-0.035,-2.734%,249007667.00,Canada,2011,180175,Basic Materials,Metal Mining
WWR,Westwater Resources Inc. Common Stock,$0.60,-0.0071,-1.169%,45845257.00,United States,,319239,Basic Materials,Metal Mining
WYY,WidePoint Corporation Common Stock,$3.41,-0.01,-0.292%,33351802.00,United States,,55633,Technology,EDP Services
XPL,Solitario Resources Corp. Common Stock,$0.64,-0.0011,-0.172%,52906828.00,United States,,13364,Basic Materials,Precious Metals
XTNT,Xtant Medical Holdings Inc. Common Stock,$0.6918,-0.0012,-0.173%,96383770.00,United States,,31040,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
YCBD,cbdMD Inc. Common Stock,$0.86,-0.0588,-6.40%,7661229.00,United States,2017,29120,Consumer Discretionary,Package Goods/Cosmetics
ZDGE,Zedge Inc. Class B Common Stock ,$3.93,-0.09,-2.239%,53573450.00,,2016,32495,Technology,Computer Software: Prepackaged Software
ZONE,CleanCore Solutions Inc. Class B Common Stock,$2.51,-0.01,-0.397%,21284893.00,,2024,4306,Industrials,Industrial Machinery/Components
